#
#
# Table of the atomic volume per atom of Tantalum
# through a range of temperatures and pressures
#
# Temperature  Pressure      Volume
# (degree K)    (MBar)    (cubic Bohrs)
#
 3600.000000000    8.77551    53.8976 
 3600.000000000    8.97959    54.0789 
 3600.000000000    9.18367    54.1366 
 3600.000000000    9.38776    53.9995 
 3600.000000000    9.59184    53.5858 
 3600.000000000    9.79592    52.8018 
 3600.000000000    10    51.5418 
  
 3900.000000000    0    131.798 
 3900.000000000    0.204082    121.141 
 3900.000000000    0.408163    112.123 
 3900.000000000    0.612245    104.538 
 3900.000000000    0.816327    98.1998 
 3900.000000000    1.02041    92.9364 
 3900.000000000    1.22449    88.5914 
 3900.000000000    1.42857    85.023 
 3900.000000000    1.63265    82.103 
 3900.000000000    1.83673    79.7167 
 3900.000000000    2.04082    77.7619 
 3900.000000000    2.2449    76.1485 
 3900.000000000    2.44898    74.7976 
 3900.000000000    2.65306    73.6411 
 3900.000000000    2.85714    72.6211 
 3900.000000000    3.06122    71.6889 
 3900.000000000    3.26531    70.8048 
 3900.000000000    3.46939    69.9373 
 3900.000000000    3.67347    69.0623 
 3900.000000000    3.87755    68.1627 
 3900.000000000    4.08163    67.2278 
 3900.000000000    4.28571    66.2523 
 3900.000000000    4.4898    65.2362 
 3900.000000000    4.69388    64.1836 
 3900.000000000    4.89796    63.1025 
 3900.000000000    5.10204    62.0042 
 3900.000000000    5.30612    60.902 
 3900.000000000    5.5102    59.8115 
 3900.000000000    5.71429    58.7493 
 3900.000000000    5.91837    57.7326 
 3900.000000000    6.12245    56.7786 
 3900.000000000    6.32653    55.9038 
 3900.000000000    6.53061    55.1234 
 3900.000000000    6.73469    54.4505 
 3900.000000000    6.93878    53.8957 
 3900.000000000    7.14286    53.4665 
 3900.000000000    7.34694    53.1664 
 3900.000000000    7.55102    52.9945 
 3900.000000000    7.7551    52.9446 
 3900.000000000    7.95918    53.005 
 3900.000000000    8.16327    53.1574 
 3900.000000000    8.36735    53.3766 
